commit	date	functions	cognitive	cyclomatic	sloc	over25
2d7a06acc	2026-06-29	12428	16170	28893	145031	67
d1f127112	2026-07-01	12492	16188	29019	145765	68
d6b5b885e	2026-07-02	15295	22032	36649	178257	105
82ac00d1d	2026-07-03	15287	22044	36652	178236	105
59ea25754	2026-07-06	15466	22300	36984	180103	109
7258d5bc7	2026-07-06	15507	22404	37109	180599	110
78339082e	2026-07-07	15568	22543	37270	181325	110
48bef1ca4	2026-07-08	15682	22608	37435	185549	110
aed04df22	2026-07-13	15694	22629	37456	185668	110
65f187247	2026-07-15	15729	22646	37544	186145	110
cac284929	2026-07-16	15750	22641	37579	186397	109
5c47463a1	2026-07-19	15879	22771	37840	187980	113
2c4253e4a	2026-07-21	15926	22832	37924	188445	113
4461979cd	2026-07-23	15987	22869	38020	189091	113
95de9a835	2026-07-23	15997	22889	38055	189249	113
c343b52fa	2026-07-24	16027	22908	38116	189540	113
6850e990c	2026-07-25	16034	22906	38123	189497	113
d289f78d7	2026-07-27	16115	22979	38345	190344	113
07a14b15c	2026-08-06	16150	23001	38396	190667	113
909a6f020	2026-08-10	16187	23050	38504	191132	115
f6c454b30	2026-08-12	16234	23111	38599	191664	115
678fbb03b	2026-08-14	16276	23112	38660	192222	115
b73c634d3	2026-08-17	16310	23124	38714	192652	115
142e109bc	2026-08-19	16332	23146	38750	192822	115
2b65299f8	2026-08-22	16660	23569	39521	196414	115
c0da6d00c	2026-08-24	16669	23572	39532	196482	115
974587948	2026-08-25	16671	23578	39543	196527	114
18490269c	2026-08-26	16723	23639	39654	197055	116
